Threshold,F1,Precision,Recall
0.59,0.6174914861241939,0.4589122240172321,0.9435341009743136
0.6,0.619290078556881,0.4611135181975737,0.9426483613817538
0.61,0.6218389124397018,0.464106480471307,0.9419840566873339
0.62,0.6242019520070449,0.46679837558994625,0.941762621789194
0.63,0.6270573474057126,0.47027565592826304,0.9406554472984943
0.64,0.6293685538324553,0.4732730722017632,0.9391054030115146
0.65,0.6310686852114251,0.47576745755088273,0.9368910540301152
0.66,0.63416097817118,0.4795235394214407,0.9360053144375554
0.67,0.6359801114961579,0.48195935145010277,0.9346767050487157
0.68,0.6380498145204028,0.48475785114459913,0.933126660761736
0.6900000000000001,0.640541774463552,0.487943426849061,0.9320194862710364
0.7000000000000001,0.6428735192969048,0.4908390710701365,0.9313551815766165
0.7100000000000001,0.6448440141386199,0.4937632384090374,0.929140832595217
0.72,0.6477632697210848,0.4974486768719592,0.9282550930026572
0.73,0.6490601211744601,0.49988035415171095,0.9251550044286979
0.74,0.6518819303451507,0.5034981905910736,0.9242692648361381
0.75,0.6530292342660083,0.5053985199563266,0.9224977856510186
0.76,0.655003940110323,0.5084413995595791,0.9202834366696191
0.77,0.6565912327899984,0.5108347697611426,0.9187333923826395
0.78,0.6587131154060288,0.5139630135286086,0.91696191319752
0.79,0.6609641058437925,0.5172025522332041,0.9154118689105403
0.8,0.6630260199164792,0.5201612903225806,0.9140832595217007
0.81,0.6656441717791411,0.523755081300813,0.9129760850310009
0.8200000000000001,0.6684526708881312,0.5276852089207895,0.9116474756421612
0.8300000000000001,0.6712384684464038,0.5316177421440579,0.9103188662533215
0.8400000000000001,0.6731226918342224,0.5347502933889686,0.9081045172719221
0.85,0.676981631639914,0.5404227212681638,0.9058901682905226
0.86,0.6795469686875416,0.5445808862786973,0.9034543844109831
0.87,0.6807975871313673,0.5475741239892183,0.8996899911426041
0.88,0.6828156650911547,0.5516912165848336,0.895704162976085
0.89,0.6853206327606736,0.5563380281690141,0.8921612046058459
0.9,0.687596500257334,0.5611873424810977,0.887511071744907
0.91,0.68910616942113,0.5655446669507173,0.8817537643932684
0.92,0.6908710071565718,0.5701526937481993,0.8764393268379097
0.93,0.6941653446148423,0.5765739385065886,0.8720106288751107
0.9400000000000001,0.6953111071492245,0.5819158460161146,0.8635961027457927
0.9500000000000001,0.6964366260712674,0.5876084639975643,0.8547387068201948
0.9600000000000001,0.6963941646022571,0.5945480181732727,0.8403454384410983
0.97,0.6957580297780691,0.6027908486126886,0.8226306465899026
0.98,0.6887583084481264,0.6095481670929241,0.79162976085031
0.99,0.6716842961757526,0.6211437170805116,0.7311780336581045
