Threshold,Crack_F1,Crack_Precision,Crack_Recall
0.6900000000000001,0.8289983397897067,0.8287231688426643,0.829273693534101
0.7000000000000001,0.8294685454343725,0.8312208138759173,0.8277236492471214
0.7100000000000001,0.8304367201426025,0.8356502242152466,0.8252878653675819
0.72,0.8319139399372478,0.8421052631578947,0.8219663418954827
0.73,0.8334083746060333,0.8475274725274725,0.8197519929140833
0.74,0.8334464811043223,0.8521517815826006,0.8155447298494243
0.75,0.8335040400591783,0.8574104425193163,0.8108945969884854
0.76,0.8332569857993587,0.8629032258064516,0.8055801594331267
0.77,0.8349850195897672,0.8704949543488707,0.8022586359610274
0.78,0.8366164542294322,0.8774914924647546,0.7993799822852081
0.79,0.8370845481049562,0.8842079329884208,0.7947298494242693
0.8,0.8371602624179943,0.8888059701492538,0.7911868910540301
0.81,0.8378728923476005,0.8960907944514502,0.7867581930912312
0.8200000000000001,0.8365145228215768,0.9002296504210258,0.7812223206377326
0.8300000000000001,0.8357816792069748,0.9071817474721287,0.774800708591674
0.8400000000000001,0.8357778312094254,0.914255654918464,0.7697077059344553
0.85,0.8356909684439608,0.9203728362183755,0.7652790079716564
0.86,0.8340435894313892,0.9264268325669461,0.758414526129318
0.87,0.8310794197196951,0.9342177998894416,0.7484499557130204
0.88,0.8284155715348376,0.9411267605633803,0.7398139946855624
0.89,0.824546023794615,0.9489766503315077,0.728963684676705
0.9,0.8217308907138345,0.9567519858781994,0.7201062887511072
0.91,0.8181470625716835,0.9636745722005404,0.7108060230292295
0.92,0.8112212070518595,0.9683563748079878,0.6979627989371124
0.93,0.802031779109143,0.9737507906388362,0.6817980513728964
0.9400000000000001,0.7897584796093441,0.9774583469454426,0.662533215234721
0.9500000000000001,0.7725748020931169,0.9802519577800477,0.637511071744907
0.9600000000000001,0.7531792697935183,0.9846263854129425,0.6098317094774136
0.97,0.7191106107514776,0.9864864864864865,0.5657661647475642
0.98,0.67434738223713,0.9876121315677061,0.5119574844995571
0.99,0.5770316912456857,0.9897739504843919,0.40721877767936226
